famille,palier,hex,C,M,Y,K,hex epreuve,dE2000
coquelicot,50,#FEF2F1,0,8,5,0,#FDF1F0,0.2
coquelicot,100,#FCDEDC,1,18,11,0,#FADDDB,0.4
coquelicot,150,#F9CAC7,0,29,17,0,#F9C9C6,0.3
coquelicot,200,#F6B6B3,0,38,24,0,#F6B5B2,0.3
coquelicot,250,#F1A19E,1,47,30,0,#F2A09D,0.4
coquelicot,300,#EC8D8A,2,56,38,0,#ED8C89,0.3
coquelicot,350,#E67876,4,64,45,0,#E87876,0.4
coquelicot,400,#DF6263,7,73,53,0,#E06162,0.3
coquelicot,450,#D44E52,11,80,61,2,#D54E51,0.4
coquelicot,500,#C24146,18,85,66,7,#C34146,0.2
coquelicot,550,#AF373C,22,88,71,14,#B1363B,0.5
coquelicot,600,#9B2E33,26,91,73,24,#9C2D32,0.3
coquelicot,650,#87272C,29,93,74,35,#88262C,0.3
coquelicot,700,#722225,33,93,75,47,#732124,0.4
coquelicot,750,#5C1E1F,37,91,73,60,#5D1D1E,0.5
coquelicot,800,#471A1A,43,87,70,71,#481919,0.6
coquelicot,850,#331515,51,83,66,80,#331514,0.5
coquelicot,900,#1F1110,64,76,64,87,#20110F,0.7
coquelicot,950,#0B0B0B,81,73,62,91,#0C0B0B,0.4
framboise,50,#FCF2F7,1,8,1,0,#FCF1F6,0.4
framboise,100,#F8DDEB,1,19,2,0,#F8DCEA,0.4
framboise,150,#F3C9DF,2,29,1,0,#F4C8DE,0.5
framboise,200,#EDB5D4,4,39,1,0,#EEB5D2,0.7
framboise,250,#E7A1C8,7,48,0,0,#E7A0C6,0.5
framboise,300,#E08DBC,10,56,0,0,#E08DBA,0.5
framboise,350,#D878B1,14,65,0,0,#D877AE,0.7
framboise,400,#CF65A5,18,72,0,0,#CF64A3,0.4
framboise,450,#BF5796,26,77,6,0,#C15696,0.4
framboise,500,#AE4B88,35,82,14,1,#B04A87,0.5
framboise,550,#9D407A,41,85,20,5,#9F3F7A,0.4
framboise,600,#8B376B,46,88,26,14,#8D366A,0.6
framboise,650,#782F5C,51,89,31,25,#7A2F5C,0.5
framboise,700,#65284E,55,91,35,37,#66274E,0.4
framboise,750,#532240,58,90,39,50,#54213F,0.5
framboise,800,#401C32,62,89,44,63,#411B31,0.6
framboise,850,#2E1724,66,85,50,75,#2F1623,0.8
framboise,900,#1C1117,72,80,56,85,#1E1016,1.6
framboise,950,#0B0B0B,81,73,62,91,#0C0B0B,0.4
lavande,50,#F4F4FE,5,5,0,0,#F4F3FA,1.4
lavande,100,#E3E3FD,12,12,0,0,#E4E2F2,3.6
lavande,150,#D3D3FB,19,18,0,0,#D5D1EA,4.8
lavande,200,#C3C2F8,26,25,0,0,#C5C0E1,6.0
lavande,250,#B3B2F5,34,31,0,0,#B3AFD8,6.5
lavande,300,#A4A1F2,41,38,0,0,#A49FCE,7.5
lavande,350,#9590EE,49,45,0,0,#928DC4,7.7
lavande,400,#877FE8,58,53,0,0,#7E7BB9,7.9
lavande,450,#7A71D8,64,59,0,0,#726EB1,6.7
lavande,500,#6E64C7,69,65,0,0,#6862A9,5.2
lavande,550,#6158B4,73,70,0,0,#6057A2,3.2
lavande,600,#554C9F,78,76,0,0,#564C9B,0.8
lavande,650,#49428A,85,82,10,1,#4A418A,0.5
lavande,700,#3E3874,89,87,22,10,#3F3773,0.5
lavande,750,#322E5E,93,90,31,25,#332D5D,0.6
lavande,800,#282548,93,91,38,44,#292447,0.7
lavande,850,#1D1C33,93,89,46,62,#1F1C32,0.9
