famille,palier,hex,palier nomme
coquelicot,50,#FFEAE8,oui
coquelicot,100,#FFD3CF,oui
coquelicot,150,#FFBCB8,non
coquelicot,200,#FFA6A3,oui
coquelicot,250,#FF9290,non
coquelicot,300,#FF7F7E,oui
coquelicot,350,#F36D6D,non
coquelicot,400,#E45C5F,oui
coquelicot,450,#D44E52,non
coquelicot,500,#C24146,oui
coquelicot,550,#AF373C,non
coquelicot,600,#9B2E33,oui
coquelicot,650,#87272C,non
coquelicot,700,#722225,oui
coquelicot,750,#5C1E1F,non
coquelicot,800,#471A1A,oui
coquelicot,850,#331515,non
coquelicot,900,#1F1110,oui
coquelicot,950,#0B0B0B,oui
framboise,50,#FFEBFB,oui
framboise,100,#FFD4F1,oui
framboise,150,#FFBFE5,non
framboise,200,#FEAAD9,oui
framboise,250,#F597CD,non
framboise,300,#EA85C0,oui
framboise,350,#DD74B2,non
framboise,400,#CF65A5,oui
framboise,450,#BF5796,non
framboise,500,#AE4B88,oui
framboise,550,#9D407A,non
framboise,600,#8B376B,oui
framboise,650,#782F5C,non
framboise,700,#65284E,oui
framboise,750,#532240,non
framboise,800,#401C32,oui
framboise,850,#2E1724,non
framboise,900,#1C1117,oui
framboise,950,#0B0B0B,oui
lavande,50,#F2F2FF,oui
lavande,100,#E0E0FF,oui
lavande,150,#D0CFFF,non
lavande,200,#C0BEFF,oui
lavande,250,#B1ADFF,non
lavande,300,#A39DFF,oui
lavande,350,#958EF5,non
lavande,400,#877FE8,oui
lavande,450,#7A71D8,non
lavande,500,#6E64C7,oui
lavande,550,#6158B4,non
lavande,600,#554C9F,oui
lavande,650,#49428A,non
lavande,700,#3E3874,oui
lavande,750,#322E5E,non
lavande,800,#282548,oui
lavande,850,#1D1C33,non
lavande,900,#14141E,oui
lavande,950,#0B0B0B,oui
petrole,50,#E3F9FF,oui
petrole,100,#C6EDFF,oui
petrole,150,#ABE0FD,non
petrole,200,#92D2F5,oui
petrole,250,#7AC4EC,non
petrole,300,#63B7E2,oui
petrole,350,#4FA8D5,non
petrole,400,#3C9AC8,oui
petrole,450,#2B8CB9,non
petrole,500,#1C7EA9,oui
petrole,550,#107098,non
petrole,600,#096286,oui
petrole,650,#085574,non
petrole,700,#0B4862,oui
petrole,750,#0E3B50,non
petrole,800,#0F2E3D,oui
petrole,850,#0F222C,non
petrole,900,#0E161B,oui
petrole,950,#0B0B0B,oui
canard,50,#DDFDFC,oui
canard,100,#BAF3F2,oui
canard,150,#99E8E7,non
canard,200,#77DCDB,oui
canard,250,#55CFCF,non
canard,300,#2DC2C2,oui
canard,350,#00B5B5,non
canard,400,#00A7A7,oui
canard,450,#009899,non
canard,500,#008A8B,oui
canard,550,#007B7C,non
canard,600,#006C6D,oui
canard,650,#005D5E,non
canard,700,#004F4F,oui
canard,750,#004041,non
canard,800,#003233,oui
canard,850,#062525,non
canard,900,#0B1817,oui
canard,950,#0B0B0B,oui
prairie,50,#E9FBE5,oui
prairie,100,#D1F1CA,oui
prairie,150,#BBE5B1,non
prairie,200,#A5D99A,oui
prairie,250,#92CC85,non
prairie,300,#7FBF71,oui
prairie,350,#6FB160,non
prairie,400,#5FA350,oui
prairie,450,#529543,non
prairie,500,#468737,oui
prairie,550,#3B782D,non
prairie,600,#336A26,oui
prairie,650,#2B5B20,non
prairie,700,#254D1C,oui
prairie,750,#1F3F18,non
prairie,800,#1A3115,oui
prairie,850,#162412,non
prairie,900,#10170F,oui
prairie,950,#0B0B0B,oui
ambre,50,#FFF1DD,oui
ambre,100,#FFDFBC,oui
ambre,150,#FECC9E,non
ambre,200,#F6BB81,oui
ambre,250,#EDAA67,non
ambre,300,#E29A4E,oui
ambre,350,#D58A37,non
ambre,400,#C77C1F,oui
ambre,450,#B86E02,non
ambre,500,#A86100,oui
ambre,550,#975500,non
ambre,600,#854A00,oui
ambre,650,#733F00,non
ambre,700,#613600,oui
ambre,750,#4F2D01,non
ambre,800,#3D2407,oui
ambre,850,#2C1C0B,non
ambre,900,#1B130C,oui
ambre,950,#0B0B0B,oui
ardoise,50,#F2F6F8,oui
ardoise,100,#E0E7EB,oui
ardoise,150,#D0D9DE,non
ardoise,200,#BFCAD1,oui
ardoise,250,#B0BCC3,non
ardoise,300,#A1AEB6,oui
ardoise,350,#92A0A8,non
ardoise,400,#84929A,oui
ardoise,450,#77848C,non
ardoise,500,#6A777F,oui
ardoise,550,#5D6971,non
ardoise,600,#515C63,oui
ardoise,650,#465055,non
ardoise,700,#3B4348,oui
ardoise,750,#31373B,non
ardoise,800,#272B2E,oui
ardoise,850,#1D2022,non
ardoise,900,#141516,oui
ardoise,950,#0B0B0B,oui
