famille,palier,hex,palier nomme,oklch
coquelicot,50,#FEF2F1,oui,oklch(97.0% 0.0135 22.0)
coquelicot,100,#FCDEDC,oui,oklch(92.4% 0.0340 22.0)
coquelicot,150,#FFC7C4,non,oklch(87.9% 0.0641 22.0)
coquelicot,200,#FFB1AD,oui,oklch(83.3% 0.0921 22.0)
coquelicot,250,#FF9996,non,oklch(78.8% 0.1229 22.0)
coquelicot,300,#FF7F7E,oui,oklch(74.2% 0.1566 22.0)
coquelicot,350,#F36D6D,non,oklch(69.7% 0.1657 22.0)
coquelicot,400,#E45C5F,oui,oklch(65.1% 0.1696 22.0)
coquelicot,450,#D44E52,non,oklch(60.6% 0.1693 22.0)
coquelicot,500,#C24146,oui,oklch(56.0% 0.1647 22.0)
coquelicot,550,#AF373C,non,oklch(51.4% 0.1564 22.0)
coquelicot,600,#9B2E33,oui,oklch(46.9% 0.1445 22.0)
coquelicot,650,#87272C,non,oklch(42.3% 0.1295 22.0)
coquelicot,700,#722225,oui,oklch(37.8% 0.1119 22.0)
coquelicot,750,#5C1E1F,non,oklch(33.2% 0.0920 22.0)
coquelicot,800,#471A1A,oui,oklch(28.7% 0.0704 22.0)
coquelicot,850,#331515,non,oklch(24.1% 0.0475 22.0)
coquelicot,900,#1F1110,oui,oklch(19.6% 0.0239 22.0)
coquelicot,950,#0B0B0B,oui,oklch(15.0% 0.0000 22.0)
framboise,50,#FCF2F7,oui,oklch(97.0% 0.0135 345.0)
framboise,100,#F8DDEB,oui,oklch(92.4% 0.0340 345.0)
framboise,150,#FFC2E3,non,oklch(87.9% 0.0809 345.0)
framboise,200,#FEAAD9,oui,oklch(83.3% 0.1135 345.0)
framboise,250,#F597CD,non,oklch(78.8% 0.1296 345.0)
framboise,300,#EA85C0,oui,oklch(74.2% 0.1414 345.0)
framboise,350,#DD74B2,non,oklch(69.7% 0.1491 345.0)
framboise,400,#CF65A5,oui,oklch(65.1% 0.1527 345.0)
framboise,450,#BF5796,non,oklch(60.6% 0.1523 345.0)
framboise,500,#AE4B88,oui,oklch(56.0% 0.1483 345.0)
framboise,550,#9D407A,non,oklch(51.4% 0.1407 345.0)
framboise,600,#8B376B,oui,oklch(46.9% 0.1300 345.0)
framboise,650,#782F5C,non,oklch(42.3% 0.1166 345.0)
framboise,700,#65284E,oui,oklch(37.8% 0.1007 345.0)
framboise,750,#532240,non,oklch(33.2% 0.0828 345.0)
framboise,800,#401C32,oui,oklch(28.7% 0.0634 345.0)
framboise,850,#2E1724,non,oklch(24.1% 0.0428 345.0)
