"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#C24146";"A+";"";"";"1,464";""
"2";"#EBBF95";"A+";"";"";"9,787";""
"3";"#32C2C2";"A+";"";"";"37,795";""
"4";"#007777";"A+";"";"";"49,831";""
"5";"#E0E7EB";"A+";"";"";"1,125";""
"6";"#C24146";"A";"";"";"2,700";""
"7";"#EBBF95";"A";"";"";"11,943";""
"8";"#32C2C2";"A";"";"";"38,869";""
"9";"#007777";"A";"";"";"45,455";""
"10";"#E0E7EB";"A";"";"";"1,032";""
"11";"#C24146";"B";"";"";"8,250";""
"12";"#EBBF95";"B";"";"";"19,188";""
"13";"#32C2C2";"B";"";"";"37,213";""
"14";"#007777";"B";"";"";"33,026";""
"15";"#E0E7EB";"B";"";"";"2,322";""
"16";"#C24146";"C";"";"";"12,159";""
"17";"#EBBF95";"C";"";"";"21,710";""
"18";"#32C2C2";"C";"";"";"32,059";""
"19";"#007777";"C";"";"";"31,227";""
"20";"#E0E7EB";"C";"";"";"2,846";""
"21";"#C24146";"Autre";"";"";"11,177";""
"22";"#EBBF95";"Autre";"";"";"12,940";""
"23";"#32C2C2";"Autre";"";"";"44,117";""
"24";"#007777";"Autre";"";"";"24,706";""
"25";"#E0E7EB";"Autre";"";"";"7,060";""
