"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#007777";"Vous appliquez strictement les consignes";"";"";"13,141";""
"2";"#32C2C2";"Vous appliquez strictement les consignes";"";"";"33,961";""
"3";"#EBBF95";"Vous appliquez strictement les consignes";"";"";"31,138";""
"4";"#C24146";"Vous appliquez strictement les consignes";"";"";"15,247";""
"5";"#E0E7EB";"Vous appliquez strictement les consignes";"";"";"6,513";""
"6";"#007777";"Dans certains cas, vous faites autrement";"";"";"10,575";""
"7";"#32C2C2";"Dans certains cas, vous faites autrement";"";"";"44,728";""
"8";"#EBBF95";"Dans certains cas, vous faites autrement";"";"";"29,542";""
"9";"#C24146";"Dans certains cas, vous faites autrement";"";"";"9,208";""
"10";"#E0E7EB";"Dans certains cas, vous faites autrement";"";"";"5,946";""
"11";"#007777";"La plupart du temps, vous faites autrement";"";"";"4,398";""
"12";"#32C2C2";"La plupart du temps, vous faites autrement";"";"";"32,260";""
"13";"#EBBF95";"La plupart du temps, vous faites autrement";"";"";"38,885";""
"14";"#C24146";"La plupart du temps, vous faites autrement";"";"";"19,585";""
"15";"#E0E7EB";"La plupart du temps, vous faites autrement";"";"";"4,872";""
