variable,reference,modalite,cote,ic_bas,ic_haut,significatif,cote_ecrite
Sexe,Homme,Femme,1.043,0.916,1.188,0,1.0
Âge,<35 ans,35-44,1.268,1.075,1.497,1,1.3
Âge,<35 ans,45-54,1.491,1.263,1.761,1,1.5
Âge,<35 ans,>= 55 ans,1.317,1.091,1.589,1,1.3
Catégorie,A+,A,1.048,0.827,1.327,0,1.0
Catégorie,A+,B,1.14,0.881,1.475,0,1.1
Catégorie,A+,C,1.207,0.902,1.614,0,1.2
Encadrement,Non,Oui majo,1.012,0.849,1.206,0,1.0
Encadrement,Non,Oui mino,1.063,0.921,1.227,0,1.1
Versant FP,FPE,FPH,1.211,0.981,1.495,0,1.2
Versant FP,FPE,FPT,1.061,0.905,1.244,0,1.1
Statut,Titulaire ou assimilé,CDD,0.874,0.683,1.119,0,0.9
Statut,Titulaire ou assimilé,CDI,1.139,0.885,1.467,0,1.1
Taille établissement,100 ou moins,100 à 500,1.166,0.961,1.414,0,1.2
Taille établissement,100 ou moins,1000 et plus,0.943,0.786,1.131,0,0.9
Taille établissement,100 ou moins,500 à 1000,0.938,0.719,1.224,0,0.9
Syndicalisme,Ni adhérent·e ni sympathisant·e,Adhérent·e,1.196,1.031,1.387,1,1.2
Syndicalisme,Ni adhérent·e ni sympathisant·e,Sympathisant·e,1.191,0.982,1.445,0,1.2
Equilibre pro-perso,Oui ou plutôt oui,Non ou plutôt non,1.11,0.972,1.267,0,1.1
Télétravail,Jamais,<3j/semaine,1.109,0.958,1.282,0,1.1
Télétravail,Jamais,3j/s et +,1.609,1.19,2.175,1,1.6
Collègues en nombre suffisant,Oui,Non,1.37,1.208,1.555,1,1.4
Fréquence réunions d'équipe,>= 1 fois/mois,< 1 fois/mois,1.155,1.021,1.307,1,1.2
Accompagnement suffisant,Oui,Non,1.37,1.213,1.547,1,1.4
Turnover équipe,Comme il faut,Trop faible,1.611,1.32,1.967,1,1.6
Turnover équipe,Comme il faut,Trop important,1.58,1.367,1.826,1,1.6
Turnover hiérarchie,Comme il faut,Trop faible,2.362,1.981,2.816,1,2.4
Turnover hiérarchie,Comme il faut,Trop important,1.87,1.594,2.195,1,1.9
Aide collègues en cas difficultés,Oui ou plutôt oui,Non ou plutôt non,1.706,1.497,1.944,1,1.7
Aide hiérarchie en cas difficultés,Oui ou plutôt oui,Non ou plutôt non,1.331,1.175,1.508,1,1.3
Partage vision SP collègues,Oui ou plutôt oui,Non ou plutôt non,1.73,1.497,1.999,1,1.7
Partage vision SP hiérarchie,Oui ou plutôt oui,Non ou plutôt non,1.896,1.635,2.2,1,1.9
Désaccord exprimable collègues,Oui ou plutôt oui,Non ou plutôt non,2.048,1.642,2.555,1,2.0
Désaccord exprimable hiérarchie,Oui ou plutôt oui,Non ou plutôt non,1.784,1.559,2.042,1,1.8
Sacrifice qualité travail,Jamais ou parfois,Souvent ou très fréquemment,1.445,1.274,1.638,1,1.4
Développement compétences possible,Tout à fait ou plutôt d'accord,Pas du tout ou plutôt pas d'accord,1.78,1.569,2.02,1,1.8
Possibilité agir pour équité,Oui ou plutôt oui,Non ou plutôt non,1.279,1.132,1.445,1,1.3
Service d'intérêts particuliers,Jamais ou parfois,Souvent ou très fréquemment,1.649,1.454,1.871,1,1.6
A déjà enfreint un ordre hiérarchique,"Non, et je n’en jamais eu l’envie","Non, mais j’en ai déjà eu envie",1.528,1.276,1.829,1,1.5
A déjà enfreint un ordre hiérarchique,"Non, et je n’en jamais eu l’envie",Oui,1.277,1.048,1.555,1,1.3
