"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#C24146";"100 ou moins";"";"";"8,915";""
"2";"#DF6263";"100 ou moins";"";"";"20,754";""
"3";"#EBBF95";"100 ou moins";"";"";"49,549";""
"4";"#007777";"100 ou moins";"";"";"18,935";""
"5";"#E0E7EB";"100 ou moins";"";"";"1,848";""
"6";"#C24146";"100 à 500";"";"";"9,326";""
"7";"#DF6263";"100 à 500";"";"";"18,870";""
"8";"#EBBF95";"100 à 500";"";"";"53,057";""
"9";"#007777";"100 à 500";"";"";"16,928";""
"10";"#E0E7EB";"100 à 500";"";"";"1,819";""
"11";"#C24146";"500 à 5000";"";"";"10,352";""
"12";"#DF6263";"500 à 5000";"";"";"21,858";""
"13";"#EBBF95";"500 à 5000";"";"";"48,502";""
"14";"#007777";"500 à 5000";"";"";"17,729";""
"15";"#E0E7EB";"500 à 5000";"";"";"1,559";""
"16";"#C24146";"5000 et plus";"";"";"13,160";""
"17";"#DF6263";"5000 et plus";"";"";"22,233";""
"18";"#EBBF95";"5000 et plus";"";"";"47,658";""
"19";"#007777";"5000 et plus";"";"";"15,498";""
"20";"#E0E7EB";"5000 et plus";"";"";"1,451";""
