"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#007777";"Titulaire ou assimilé";"";"";"40,771";""
"2";"#C24146";"Titulaire ou assimilé";"";"";"54,515";""
"3";"#E0E7EB";"Titulaire ou assimilé";"";"";"4,714";""
"4";"#007777";"CDD";"";"";"45,254";""
"5";"#C24146";"CDD";"";"";"48,647";""
"6";"#E0E7EB";"CDD";"";"";"6,100";""
"7";"#007777";"CDI";"";"";"37,364";""
"8";"#C24146";"CDI";"";"";"58,709";""
"9";"#E0E7EB";"CDI";"";"";"3,927";""
"10";"#007777";"Personnel médical hospitalier";"";"";"35,602";""
"11";"#C24146";"Personnel médical hospitalier";"";"";"61,286";""
"12";"#E0E7EB";"Personnel médical hospitalier";"";"";"3,111";""
"13";"#007777";"Autre";"";"";"34,965";""
"14";"#C24146";"Autre";"";"";"58,315";""
"15";"#E0E7EB";"Autre";"";"";"6,720";""
