item;serie;valeur;couleur
Formations sur le management;FPH;29;#554C9F
Formations sur le management;FPT;53;#83BE76
Formations sur le management;FPE;36;#E08DBC
Rien de tout cela;FPH;49;#554C9F
Rien de tout cela;FPT;28;#83BE76
Rien de tout cela;FPE;43;#E08DBC
Temps d’échanges avec des pairs;FPH;33;#554C9F
Temps d’échanges avec des pairs;FPT;40;#83BE76
Temps d’échanges avec des pairs;FPE;26;#E08DBC
Outils ou kits donnant consignes de management;FPH;9;#554C9F
Outils ou kits donnant consignes de management;FPT;21;#83BE76
Outils ou kits donnant consignes de management;FPE;13;#E08DBC
Autre forme d’accompagnement à la fonction de management;FPH;15;#554C9F
Autre forme d’accompagnement à la fonction de management;FPT;21;#83BE76
Autre forme d’accompagnement à la fonction de management;FPE;12;#E08DBC
