valeur;couleur;pct
Traitement équitable de tous les publics;#107098;15
Traitement équitable de tous les publics;#0B4862;81
Traitement équitable de tous les publics;#32C2C2;35
Traitement équitable de tous les publics;#007777;22
Bon usage de l’argent public;#107098;22
Bon usage de l’argent public;#0B4862;74
Bon usage de l’argent public;#32C2C2;22
Bon usage de l’argent public;#007777;13
Respect des lois et des réglements;#107098;28
Respect des lois et des réglements;#0B4862;67
Respect des lois et des réglements;#32C2C2;41
Respect des lois et des réglements;#007777;21
Réduction des inégalités dans la population;#107098;19
Réduction des inégalités dans la population;#0B4862;73
Réduction des inégalités dans la population;#32C2C2;28
Réduction des inégalités dans la population;#007777;12
